OBJECTID,Geo_ID,Geo_Type,Geo_Name,Geo_Short_Name,Suppressed,Shape__Area,Shape__Length,Label
238,csa_unincorp_arcadia,Unincorporated Los Angeles County,Unincorporated - Arcadia,Arcadia (Unincorporated),1,25328675.9501953,35960.6401911944,Arcadia (Unincorporated)
239,csa_unincorp_athens_village,Unincorporated Los Angeles County,Unincorporated - Athens Village,Athens Village (Unincorporated),1,12568701.3398438,15767.0685987267,Athens Village (Unincorporated)
240,csa_unincorp_avocado_heights,Unincorporated Los Angeles County,Unincorporated - Avocado Heights,Avocado Heights (Unincorporated),1,34588444.8496094,56792.5529476054,Avocado Heights (Unincorporated)
241,csa_unincorp_azusa,Unincorporated Los Angeles County,Unincorporated - Azusa,Azusa (Unincorporated),1,43848427.7197266,95317.7076229732,Azusa (Unincorporated)
242,csa_unincorp_bandini_islands,Unincorporated Los Angeles County,Unincorporated - Bandini Islands,Bandini Islands (Unincorporated),1,1337333.31054688,12372.9201273573,Bandini Islands (Unincorporated)
243,csa_unincorp_bassett,Unincorporated Los Angeles County,Unincorporated - Bassett,Bassett (Unincorporated),1,34401641.2910156,49744.9076505034,Bassett (Unincorporated)
244,csa_unincorp_bouquet_canyon,Unincorporated Los Angeles County,Unincorporated - Bouquet Canyon,Bouquet Canyon (Unincorporated),1,778146145.916992,167396.180342317,Bouquet Canyon (Unincorporated)
245,csa_unincorp_bradbury,Unincorporated Los Angeles County,Unincorporated - Bradbury,Bradbury (Unincorporated),1,822758.62109375,4085.33544644886,Bradbury (Unincorporated)
246,csa_unincorp_canyon_country,Unincorporated Los Angeles County,Unincorporated - Canyon Country,Canyon Country (Unincorporated),1,165276723.902344,101506.324186141,Canyon Country (Unincorporated)
247,csa_unincorp_cerritos,Unincorporated Los Angeles County,Unincorporated - Cerritos,Cerritos (Unincorporated),1,843088.774414063,3993.15688733921,Cerritos (Unincorporated)
248,csa_unincorp_charter_oak,Unincorporated Los Angeles County,Unincorporated - Charter Oak,Charter Oak (Unincorporated),1,308383.705078125,4334.04056142729,Charter Oak (Unincorporated)
249,csa_unincorp_claremont,Unincorporated Los Angeles County,Unincorporated - Claremont,Claremont (Unincorporated),1,27888892.7919922,48271.319512978,Claremont (Unincorporated)
250,csa_unincorp_covina,Unincorporated Los Angeles County,Unincorporated - Covina,Covina (Unincorporated),1,107495631.319336,128155.360030696,Covina (Unincorporated)
